ax,ay,az
-0.056396,-0.015137,1.007324
-0.05957,-0.013184,1.011475
-0.061768,-0.008057,1.006592
-0.044434,-0.010254,1.019775
-0.124756,-0.006592,1.02832
-0.042969,-0.018066,0.990967
-0.056396,-0.008301,1.005859
-0.058838,-0.01123,1.005127
-0.05835,-0.011475,1.010986
-0.060059,-0.007324,1.006104
-0.06543,-0.011475,1.000488
-0.020508,-0.150391,0.908936
-0.064209,-0.01123,1.023926
-0.050293,0.026611,1.015381
-0.064697,-0.008789,1.021729
-0.057617,-0.004639,1.015137
-0.059326,-0.009766,1.005859
-0.059326,-0.013184,1.000244
-0.062744,-0.004639,1.010498
-0.023437,-0.094727,1.000732
-0.077148,-0.006836,1.021729
-0.015869,-0.037842,0.971436
-0.062744,-0.01001,1.021973
-0.058105,-0.008789,1.008057
-0.056885,-0.010254,1.005615
-0.054687,-0.011719,1.00293
1.577393,0.240723,1.999939
-0.012695,-0.031982,0.972412
-0.136963,0.018066,1.020508
-0.071533,0.007568,1.026367
-0.055908,-0.006592,0.999268
-0.060303,-0.014893,1.005371
-0.061523,-0.012207,1.006104
-0.057373,-0.010742,1.009277
-0.036133,-0.01001,0.980469
-0.054687,-0.012207,0.996826
-0.064453,-0.01123,1.002686
-0.055664,-0.013916,1.008057
-0.059326,-0.009277,1.012207
-0.456299,-0.240723,0.108154
-0.009033,-0.074219,0.948975
-0.173096,-0.025391,1.01123
-0.033203,-0.019043,0.987061
-0.065674,-0.009521,1.007813
-0.058105,-0.012207,1.005127
-0.062256,-0.009277,1.009521
-0.056152,-0.007324,1.005127
0.681641,-0.085449,1.122803
-0.025391,-0.049561,0.943359
-0.083984,0.021729,1.036865
-0.066406,-0.003906,1.03418
-0.061035,-0.009766,1.008789
-0.056641,-0.009033,1.011475
-0.06543,-0.008789,1.005859
-0.061523,-0.01123,1.00708
-0.281494,-0.224365,0.095215
0.003906,-0.046143,0.950195
-0.061035,-0.006592,1.005615
-0.061768,-0.008057,1.013916
-0.056152,-0.005371,1.019043
-0.063477,-0.010742,1.00708
-0.058105,-0.012207,1.005615
-0.061035,-0.011475,1.012695
-0.237305,-0.003174,1.126221
-0.065186,-0.009033,1.034424
-0.093262,-0.006348,0.99707
-0.064697,-0.009277,1.010742
-0.05542,-0.01001,1.012207
-0.055908,-0.01001,0.998291
-0.061768,-0.010498,1.006348
-0.055908,-0.008545,1.006104
-0.058838,-0.008301,1.015869
-0.207764,-0.120117,1.056152
-0.060547,-0.005859,1.037354
-0.033936,-0.029541,0.98291
-0.05835,-0.00708,1.016846
-0.05957,-0.011475,1.001221
-0.06543,-0.01001,1.007568
-0.05957,-0.008301,1.002686
-0.351807,-0.098877,0.305664
-0.009033,-0.026611,0.966309
-0.064697,-0.028809,0.982178
-0.062988,-0.007568,1.013184
-0.053467,-0.007568,1.01123
-0.061035,-0.010986,1.007568
-0.062988,-0.004883,1.009766
-0.068848,-0.008545,1.000977
0.588867,0.015381,1.443848
-0.001465,-0.031738,0.925537
-0.046875,-0.017578,0.999023
-0.057861,-0.008301,1.004395
-0.056152,-0.008301,1.009766
-0.064697,-0.009521,1.012695
-0.064941,-0.011719,1.011475
1.330078,0.138428,1.999939
0.025879,-0.047119,0.912598
-0.059326,-0.010254,1.006104
-0.058594,-0.006104,1.000488
-0.056641,-0.005615,1.003174
-0.061768,-0.008789,1.006104
-0.064453,-0.009277,1.011719
-0.61084,0.097412,0.733643
-0.057373,-0.009766,1.012939
-0.053223,-0.008301,1.009033
-0.056152,-0.01001,0.99585
-0.05835,-0.005859,1.008789
-0.298828,0.047607,1.596924
-0.319092,0.159424,1.339844
0.001465,-0.061279,0.843262
0.31958,-0.001221,0.275391
0.536133,0.01123,0.109619
0.530762,0.061523,0.102295
0.428223,-0.800049,-0.02417
-0.21582,-0.063965,1.575684
0.476562,0.068604,1.149902
-0.383057,0.091309,1.150146
-0.155273,0.022217,0.655518
-0.064697,-0.014404,0.655273
-0.079102,-0.030762,0.64917
0.072998,0.027832,0.73584
-0.119141,0.313721,1.999939
-0.018311,0.133301,1.105225
-0.164307,0.099854,1.057373
0.047607,0.120605,1.181885
0.093018,0.056641,0.980469
0.027588,0.009033,0.697754
-0.067139,-0.003906,0.583984
-0.283203,0.00293,0.891113
-0.172607,0.217529,1.614014
-0.352783,0.068848,1.305908
0.137451,0.255371,1.363037
0.125488,-0.019531,0.841797
0.373291,0.013184,0.308838
0.539307,-0.001221,0.146729
0.226074,0.102051,0.420898
-1.141846,-0.130615,1.801758
-0.19751,-0.11084,1.441162
-0.191895,0.466064,1.500244
-0.205566,-0.078369,0.998535
0.129395,0.031738,0.213867
0.251953,-0.009766,0.103271
0.335205,0.02832,0.277832
-1.122314,1.999939,1.999939
-0.067627,0.034912,1.476318
0.034912,0.166016,1.658691
-0.219482,0.026367,0.990479
0.166748,0.027344,0.221436
0.194824,-0.017822,0.213379
0.063721,0.003906,0.4104
0.078125,0.123047,0.89917
-0.609619,0.557129,1.999939
-0.195557,0.05127,1.229248
-0.386719,0.165527,1.689453
0.012939,0.122803,1.131836
0.25415,0.029785,0.307617
0.163818,-0.059326,0.256348
0.333252,-0.023193,0.085937
0.327393,0.035889,0.506592
-0.680664,-0.43335,1.413818
0.052734,0.204834,1.635498
-0.071289,0.351318,1.821777
-0.266846,0.061523,0.418701
0.192383,0.0,0.146484
0.177734,-0.053223,0.388428
0.205078,-0.030518,0.435059
-0.017334,0.07251,0.834961
0.157715,-1.374023,-0.036865
-0.560547,0.012451,1.497803
0.078857,0.263672,1.767578
0.131348,0.032227,0.240967
0.26001,-0.058594,-0.156494
0.283936,-0.022705,-0.020752
0.308838,0.035889,0.475342
1.01123,-1.83667,-0.955566
-0.010986,0.042236,1.439209
-0.234131,0.027588,1.663086
-0.291748,0.056885,0.872314
0.11792,0.022461,0.159424
0.211914,0.060059,0.197021
0.323486,1.999939,1.999939
-0.389648,0.39502,1.381836
0.056641,0.056885,1.637695
0.113281,-0.116699,0.564209
0.013916,-0.073486,0.353271
0.102295,-0.016357,0.312744
0.166748,0.026611,0.379639
0.112061,0.072266,1.062988
-0.596191,0.07959,1.026855
-0.11084,0.165283,1.453613
-0.041016,-0.0271,1.315918
0.094971,-0.013672,0.65625
0.050293,-0.014893,0.525391
0.115479,0.015625,0.484375
0.114502,0.023926,0.885986
-0.042969,-0.276855,1.309082
-0.138184,-0.038574,1.246338
-0.260498,0.046143,1.374268
-0.071777,-0.016846,1.460205
0.180908,0.024414,0.681885
0.097168,-0.027344,0.362549
0.210937,-0.029785,0.198242
0.161621,0.009521,0.47876
0.26123,0.109863,0.936279
-0.204346,-0.19751,0.589844
0.101318,0.206055,1.082031
-0.777344,-0.048828,1.746338
0.021973,0.016846,1.665527
0.27417,0.051025,0.664551
0.137695,-0.013428,0.173584
0.289307,-0.096191,-0.066895
0.273193,-0.024658,-0.000244
0.287109,0.165039,0.339111
-1.197266,1.714844,1.999939
-0.222168,-0.272217,1.39624
-0.25293,0.085449,1.630371
0.027344,-0.029785,0.686768
0.0,-0.039307,0.716797
0.087646,-0.016113,0.313721
0.190186,-0.003906,0.370117
0.181641,0.077148,0.562988
0.176025,0.218994,1.746094
-0.775879,-0.172852,1.183838
0.012939,0.09668,1.999939
0.212891,0.003662,0.602295
0.122559,-0.022217,0.453857
0.229492,-0.030762,0.091309
0.358643,0.011719,0.05542
0.303955,0.100098,0.494141
-1.943115,-0.926758,0.976562
0.226074,0.223145,1.285645
-0.493408,-0.046631,1.773926
0.087891,-0.015381,0.824463
0.024658,-0.088379,0.618408
0.023437,-0.058594,0.194092
0.199707,-0.039551,0.06665
0.180176,0.013916,0.367676
-0.674561,1.649658,1.999939
-0.039551,0.284912,1.310303
-0.813721,-0.032959,1.901855
0.183105,0.011963,1.482178
0.202393,-0.02124,0.644531
0.082275,-0.008057,0.237549
0.324463,-0.068848,-0.128906
0.324951,-0.027344,-0.038574
0.249756,0.149414,0.304932
-1.89209,1.375,1.999939
-0.031494,-0.116943,1.098877
-0.376953,0.147705,1.598633
-0.076904,-0.093018,1.135254
0.000244,-0.031738,1.055176
-0.402588,-2.0,-0.307861
-0.272217,0.040283,1.13208
-0.393799,0.008545,1.065918
-0.390869,-0.118164,1.730713
0.264648,0.05957,1.705811
0.196289,0.070068,0.621826
0.121338,-0.024902,0.223633
0.275635,-0.094238,-0.024414
0.31958,-0.033936,-0.287109
0.240479,0.216797,-0.141357
0.051025,1.169922,0.837402
-0.499512,-0.306885,0.919922
-0.146729,0.066895,0.999023
-0.167969,0.009277,1.01001
-0.13623,-0.112549,1.367432
0.056396,-0.000244,1.259277
0.007324,0.034668,0.917725
0.08374,-0.020996,0.692383
0.147705,-0.037354,0.212402
0.065186,-0.001221,0.197998
-0.116455,0.121094,0.776855
-0.177246,0.366699,0.730225
-0.222412,-0.018311,1.310303
0.034424,0.023193,1.055664
-0.009766,-0.01416,0.962402
0.087646,0.0271,0.718018
0.094482,0.012939,0.600586
0.114258,0.005371,0.742187
0.006348,0.016113,0.885254
-0.491455,-0.045898,0.931641
-0.04248,0.099609,1.07251
-0.336182,-0.073486,1.466797
0.0354,0.027832,1.363281
0.069824,0.017334,0.943359
0.06665,0.015625,0.656006
0.116699,-0.040771,0.742676
0.169678,-0.067871,0.320801
0.070801,0.01123,0.130859
0.07666,0.042236,0.395752
-1.381836,-0.052246,1.63208
-0.105469,0.000732,0.9646
-0.101074,0.010498,1.00293
-0.429932,0.102539,0.897461
-0.506836,-0.208496,1.9021
0.36084,0.388428,1.999939
0.035889,-0.013916,0.671631
0.163086,0.006592,-0.327637
0.339111,-0.091309,-0.55835
0.178711,0.040039,-0.311523
-0.222656,0.336182,0.51416
-0.222168,0.56958,0.778809
-0.389404,-0.271973,1.75293
0.121338,0.023926,0.80542
-0.072998,-0.036621,0.911377
-0.015869,-0.020996,0.929932
0.12207,-0.036377,0.551514
0.158203,-0.044922,0.458008
0.078369,-0.031006,0.465332
-0.10498,0.052979,0.878174
-0.450928,0.006348,1.924561
-0.280029,0.004639,1.754639
0.06665,0.076416,1.175293
0.091064,0.013428,0.615723
0.085205,-0.049316,0.45874
0.092529,-0.062012,0.474365
0.098389,-0.032715,0.654785
0.052734,-0.022705,0.905518
0.096191,0.032227,0.820312
0.07666,0.103027,0.663818
-0.346924,0.676758,1.49585
-0.196289,-0.064453,1.003662
-0.623535,-0.076416,1.168213
-0.0625,-0.003174,1.050293
-0.08667,-0.006592,1.025146
-0.085449,-0.00708,1.034668
-0.099609,-0.003418,1.000244
-0.142334,0.033203,0.981445
-0.251465,-0.086426,1.036621
-0.337402,-0.081543,1.221191
-0.134766,-0.054687,1.336426
0.024902,0.050781,0.927979
-0.189941,-0.270508,0.505859
0.249268,0.006836,0.350098
0.040527,0.045166,0.309814
0.150391,0.042236,0.672607
-0.245361,0.380859,0.96875
-0.036621,-0.030273,0.991943
-0.101318,-0.016357,1.061035
-0.023682,0.232178,1.256836
-0.507812,-0.284912,0.336426
0.13623,0.084473,0.967041
-0.019043,0.067871,0.969482
0.050781,-0.229248,1.143555
-0.049805,-0.018311,1.021973
-0.055908,-0.007568,1.010254
-0.050781,0.002686,1.005859
-0.315918,0.026367,1.044678
-0.063232,0.024658,1.017822
-0.071533,-0.003662,1.006348
0.000244,0.22998,1.15918
-0.016602,0.130615,0.987061
0.018066,0.065674,0.990234
-0.067383,-0.001465,0.999023
-0.162842,-0.110107,1.104492
0.264648,-0.394287,1.16333
-0.087402,0.01709,0.978271
-0.074707,-0.000488,0.959473
-0.25,0.016113,1.105469
0.208984,0.277588,1.34082
-0.010986,0.088867,1.058105
0.000977,0.046143,0.940918
-0.081787,-0.013184,0.984131
-0.187256,-0.071533,0.983398
-0.067627,0.289307,0.544434
-0.03833,-0.014893,1.030762
-0.050049,-0.016357,0.996338
-0.064453,-0.102539,1.025635
0.034424,-0.36377,-0.588623
0.137939,0.115479,0.834229
-0.010254,0.058594,0.98291
-0.0625,-0.006836,0.951904
-0.195557,-0.143311,1.021484
0.978516,1.581055,0.36499
-0.130371,-0.046143,0.919922
-0.050781,-0.052002,0.970703
-0.147949,0.04248,1.078369
0.021729,0.145508,0.925537
-0.02124,0.08374,1.02417
-0.058105,0.072021,1.0625
-0.026367,-0.012207,1.121338
0.006836,-0.036377,1.010986
0.163086,-0.114014,0.862305
-0.062988,-0.010498,1.008301
-0.067871,-0.006592,1.007324
-0.100586,-0.002197,0.992432
0.107666,0.015381,1.049072
-0.00415,0.075195,0.964111
0.059326,-0.091064,0.89624
-0.111328,-0.056641,1.029053
-0.101807,0.035889,1.002197
-0.327148,0.113281,1.178711
-0.044189,-0.029297,1.006104
-0.04834,-0.025635,0.998291
1.162598,0.594238,1.999939
-0.062012,-0.016357,1.002441
-0.068604,-0.006348,1.006836
-0.067627,-0.017578,1.004395
-0.244873,-0.002197,0.830078
-0.085693,-0.01001,1.027344
0.012451,-0.021973,0.981445
-0.130615,-0.132568,0.559082
-0.037842,-0.073242,0.94873
-0.058594,-0.024414,0.966553
-0.049561,-0.019287,0.986084
-0.059814,-0.012451,1.012451
-0.063721,-0.009033,1.00708
-0.056641,-0.01709,0.762695
-0.064697,-0.026611,1.016602
0.000244,-0.004639,0.959229
-0.057861,-0.018066,1.004395
-0.152832,-0.648682,0.533447
-0.049805,0.015137,1.023682
-0.05835,-0.003662,0.996338
-0.096191,0.039063,1.073486
-0.073486,-0.001221,1.015869
-0.10791,-0.09375,0.773437
-0.255615,0.081543,1.179932
0.045654,-0.066895,0.987305
-0.063232,-0.017822,0.989258
-0.062256,-0.006104,0.988281
-0.060547,-0.021729,1.020264
-0.078369,-0.077148,0.939941
-0.02002,-0.001465,1.029541
-0.070068,-0.017578,0.987549
-0.067871,-0.008545,1.02124
-0.089111,0.012695,0.880371
-0.116943,0.042236,1.114502
-0.105713,0.010254,1.025146
-0.066895,-0.009766,0.993896
-0.080811,-0.016357,0.997559
-0.073975,-0.009766,0.994385
-0.339844,-0.212891,0.197266
-0.068115,0.016602,1.039063
-0.053467,0.003662,1.000732
-0.110352,0.03125,0.956299
-0.034912,-0.009277,0.996094
-0.088379,0.006348,1.015381
-0.07666,-0.007813,1.002686
-0.06543,-0.012207,1.000977
-0.070068,-0.005615,1.002686
-0.066406,-0.003174,1.00293
-0.070068,-0.010254,1.01123
-0.063965,-0.012939,0.997803
-0.173828,-0.051758,1.999939
-0.068848,-0.012695,1.029785
-0.027832,0.02002,1.002197
-0.142822,0.017334,1.02832
-0.065674,-0.003418,0.99707
-0.070312,-0.008789,1.021973
-0.059326,-0.012207,1.0
-0.062744,-0.009521,1.005859
-0.012695,-0.065186,0.581055
-0.165771,0.070557,1.017578
-0.056396,-0.02002,1.003906
-0.064941,-0.009521,1.008789
-0.079102,-0.012207,1.004883
0.015869,0.170166,0.733643
-0.059326,-0.005615,0.990723
-0.05127,-0.006348,1.006104
-0.060791,-0.007813,1.00293
-0.151367,0.018311,1.08374
-0.126465,-0.002197,0.845215
-0.104736,-0.007324,1.015625
-0.019531,-0.016846,0.997314
-0.066406,-0.005859,1.041016
-0.068115,-0.020508,1.000244
0.029785,0.028076,1.012451
-0.072998,-0.000732,0.994141
-0.064209,-0.009033,1.019287
-0.06665,-0.008057,1.01416
-0.062256,-0.010742,1.008057
-0.062988,-0.008545,1.007568
-0.067383,-0.006104,0.993164
-0.911377,0.455566,1.999939
-0.170898,0.054687,1.201416
-0.022461,-0.012451,0.96582
0.003906,0.034912,0.821533
-0.053467,-0.004639,0.997314
0.013428,0.003662,1.019775
-0.045166,-0.016357,1.029053
-0.083252,-0.000244,1.005615
-0.036377,-0.011719,0.925781
-0.251221,0.02124,1.073242
-0.084717,-0.000488,1.019287
-0.024414,-0.109375,0.94043
-0.054443,-0.01001,1.01709
-0.052734,-0.013428,0.998291
-1.110107,-1.941406,-0.276855
0.009766,-0.015625,1.04248
-0.044434,0.01709,0.992432
-0.057373,0.001221,1.032715
-0.060303,-0.01123,1.021484
-0.196045,0.016602,0.843994
-0.099121,0.006592,1.048828
0.073975,-0.014893,0.937012
-0.081055,-0.00293,1.028076
-0.060791,-0.008789,0.991699
-0.063232,-0.005859,1.003662
-0.077148,-0.010742,1.006104
-0.070557,-0.002686,1.011963
-0.317627,-0.644043,0.199219
-0.036621,-0.08374,1.017334
-0.060059,-0.008789,0.997803
